angle	distance	nomodules	PV	PVtot	gain
0	6.0	1.0	603.8208000000027	603.8208000000027	-1201.2567999999944
10	6.0	1.0	657.2348928000002	657.2348928000002	-1184.106600000002
20	6.0	1.0	699.7658112000031	699.7658112000031	-1155.8040000000003
30	6.0	1.0	728.3400192000039	728.3400192000039	-1134.974399999998
40	6.0	1.0	742.1893632000005	742.1893632000005	-1122.972800000002
50	6.0	1.0	741.6797184000006	741.6797184000006	-1119.7669999999991
60	6.0	1.0	726.658099200002	726.6580992000021	-1111.1811999999977
70	6.0	1.0	697.0263551999985	697.0263551999984	-1113.5367999999994
80	6.0	1.0	654.2309376000028	654.2309376000028	-1111.1872000000012
90	6.0	1.0	600.5555711999995	600.5555711999995	-1106.687399999996
0	3.0	2.0	596.4212736000012	1192.8425472000024	-1068.7253999999966
10	3.0	2.0	649.7197055999994	1299.4394111999989	-1029.6328000000028
20	3.0	2.0	691.4856960000043	1382.9713920000086	-1016.4174000000012
30	3.0	2.0	721.4151167999997	1442.8302335999995	-982.9374000000039
40	3.0	2.0	735.9763968000011	1471.9527936000022	-963.6938000000013
50	3.0	2.0	737.3283840000025	1474.656768000005	-933.863200000002
60	3.0	2.0	724.4637695999992	1448.9275391999984	-931.9528000000046
70	3.0	2.0	696.1485311999996	1392.2970623999993	-935.7978000000003
80	3.0	2.0	654.0129792000031	1308.0259584000062	-944.3442000000032
90	3.0	2.0	600.5555711999995	1201.111142399999	-940.4388000000006
0	2.0	3.0	548.4375552000007	1645.3126656000022	-966.5434000000035
10	2.0	3.0	580.4571647999994	1741.3714943999983	-917.6884000000024
20	2.0	3.0	616.4207616000008	1849.2622848000024	-877.1684000000022
30	2.0	3.0	650.7525120000007	1952.2575360000021	-845.7962000000041
40	2.0	3.0	688.0264704000009	2064.0794112000026	-803.1676000000012
50	2.0	3.0	711.3004031999983	2133.901209599995	-784.6405999999987
60	2.0	3.0	703.3592832000022	2110.0778496000066	-768.3543999999972
70	2.0	3.0	692.9968128000011	2078.9904384000033	-782.8820000000005
80	2.0	3.0	649.8169344000024	1949.4508032000072	-811.2405999999997
90	2.0	3.0	600.5555711999995	1801.6667135999983	-905.9042000000036
0	1.5	4.0	491.06580480000105	1964.2632192000044	-869.562799999999
10	1.5	4.0	539.2300032000007	2156.920012800003	-818.8579999999974
20	1.5	4.0	563.5565568000009	2254.2262272000034	-758.192400000001
30	1.5	4.0	594.3806976000018	2377.522790400007	-717.375800000004
40	1.5	4.0	619.6394496000026	2478.5577984000106	-683.3646000000028
50	1.5	4.0	637.1897856000029	2548.7591424000116	-638.858800000001
60	1.5	4.0	647.2097280000036	2588.8389120000143	-618.6257999999987
70	1.5	4.0	669.2637696000028	2677.055078400011	-612.9813999999984
80	1.5	4.0	648.1930751999997	2592.772300799999	-641.1237999999976
90	1.5	4.0	600.5555711999995	2402.222284799998	-711.8239999999959
0	1.2	5.0	443.4882048000016	2217.4410240000084	-790.7221999999983
10	1.2	5.0	453.9743232	2269.871616	-733.4380000000004
20	1.2	5.0	482.24501759999964	2411.2250879999983	-655.0314000000002
30	1.2	5.0	516.7713792000001	2583.8568960000007	-613.6913999999998
40	1.2	5.0	553.006233600001	2765.031168000005	-568.9925999999997
50	1.2	5.0	579.2168448000041	2896.0842240000206	-525.2417999999989
60	1.2	5.0	597.2001792000015	2986.0008960000073	-497.4838
70	1.2	5.0	616.6612992000009	3083.3064960000047	-487.0489999999985
80	1.2	5.0	644.2859520000028	3221.429760000014	-499.29339999999746
90	1.2	5.0	600.5555711999995	3002.7778559999974	-516.6987999999991
0	1.0	6.0	380.3725824000002	2282.2354944000012	-706.3534000000013
10	1.0	6.0	432.3460608000008	2594.0763648000047	-648.6597999999997
20	1.0	6.0	463.7523456000014	2782.5140736000085	-598.805399999998
30	1.0	6.0	455.6792832000025	2734.075699200015	-529.9039999999986
40	1.0	6.0	472.9669632000016	2837.8017792000096	-495.4715999999978
50	1.0	6.0	488.20285440000197	2929.2171264000117	-447.81019999999864
60	1.0	6.0	516.6223872000018	3099.7343232000103	-416.067399999999
70	1.0	6.0	569.5557120000003	3417.334272000002	-388.74259999999794
80	1.0	6.0	597.9144192000007	3587.486515200004	-367.29879999999974
90	1.0	6.0	600.5555711999995	3603.3334271999965	-351.0639999999976
